Bölge (Düzey-2),Ýl Adý,Ýlçe Adý,Ýl-Ýlçe,ilce_no
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,COBANLAR,AFYONKARAHISAR-COBANLAR,386
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,DAZKIRI,AFYONKARAHISAR-DAZKIRI,228
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,DINAR,AFYONKARAHISAR-DINAR,246
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,EMIRDAG,AFYONKARAHISAR-EMIRDAG,405
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,EVCILER,AFYONKARAHISAR-EVCILER,249
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,HOCALAR,AFYONKARAHISAR-HOCALAR,341
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,IHSANIYE,AFYONKARAHISAR-IHSANIYE,436
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,ISCEHISAR,AFYONKARAHISAR-ISCEHISAR,410
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,KIZILOREN,AFYONKARAHISAR-KIZILOREN,300
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,SANDIKLI,AFYONKARAHISAR-SANDIKLI,313
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,SINANPASA,AFYONKARAHISAR-SINANPASA,382
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,SUHUT,AFYONKARAHISAR-SUHUT,307
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,SULTANDAGI,AFYONKARAHISAR-SULTANDAGI,353
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,ALTINTAS,KUTAHYA-ALTINTAS,426
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,ASLANAPA,KUTAHYA-ASLANAPA,457
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,CAVDARHISAR,KUTAHYA-CAVDARHISAR,459
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,DOMANIC,KUTAHYA-DOMANIC,553
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,DUMLUPINAR,KUTAHYA-DUMLUPINAR,424
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,EMET,KUTAHYA-EMET,470
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,GEDIZ,KUTAHYA-GEDIZ,413
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,HISARCIK,KUTAHYA-HISARCIK,468
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,KUTAHYA,KUTAHYA-KUTAHYA,475
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,PAZARLAR,KUTAHYA-PAZARLAR,417
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,SAPHANE,KUTAHYA-SAPHANE,414
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,SIMAV,KUTAHYA-SIMAV,421
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,TAVSANLI,KUTAHYA-TAVSANLI,493
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,AHMETLI,MANISA-AHMETLI,376
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,AKHISAR,MANISA-AKHISAR,404
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,ALASEHIR,MANISA-ALASEHIR,277
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,DEMIRCI,MANISA-DEMIRCI,399
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,GOLMARMARA,MANISA-GOLMARMARA,378
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,GORDES,MANISA-GORDES,403
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,KIRKAGAC,MANISA-KIRKAGAC,474
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,KOPRUBASI,MANISA-KOPRUBASI,412
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,KULA,MANISA-KULA,366
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,SALIHLI,MANISA-SALIHLI,328
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,SARIGOL,MANISA-SARIGOL,276
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,SARUHANLI,MANISA-SARUHANLI,380
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,SEHZADELER,MANISA-SEHZADELER,367
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,SELENDI,MANISA-SELENDI,398
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,SOMA,MANISA-SOMA,446
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,TURGUTLU,MANISA-TURGUTLU,322
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,YUNUSEMRE,MANISA-YUNUSEMRE,370
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",USAK,BANAZ,USAK-BANAZ,381
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",USAK,ESME,USAK-ESME,297
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",USAK,KARAHALLI,USAK-KARAHALLI,315
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",USAK,SIVASLI,USAK-SIVASLI,339
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",USAK,ULUBEY,USAK-ULUBEY,317
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",USAK,USAK,USAK-USAK,342
"TR41-BURSA, ESKISEHIR, BILECIK",BILECIK,BILECIK,BILECIK-BILECIK,595
"TR41-BURSA, ESKISEHIR, BILECIK",BILECIK,BOZUYUK,BILECIK-BOZUYUK,539
"TR41-BURSA, ESKISEHIR, BILECIK",BILECIK,GOLPAZARI,BILECIK-GOLPAZARI,622
"TR41-BURSA, ESKISEHIR, BILECIK",BILECIK,INHISAR,BILECIK-INHISAR,599
"TR41-BURSA, ESKISEHIR, BILECIK",BILECIK,OSMANELI,BILECIK-OSMANELI,653
"TR41-BURSA, ESKISEHIR, BILECIK",BILECIK,PAZARYERI,BILECIK-PAZARYERI,594
"TR41-BURSA, ESKISEHIR, BILECIK",BILECIK,SOGUT,BILECIK-SOGUT,570
"TR41-BURSA, ESKISEHIR, BILECIK",BILECIK,YENIPAZAR,BILECIK-YENIPAZAR,624
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,BUYUKORHAN,BURSA-BUYUKORHAN,548
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,GEMLIK,BURSA-GEMLIK,659
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,GURSU,BURSA-GURSU,645
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,HARMANCIK,BURSA-HARMANCIK,526
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,INEGOL,BURSA-INEGOL,574
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,IZNIK,BURSA-IZNIK,666
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,KARACABEY,BURSA-KARACABEY,625
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,KELES,BURSA-KELES,556
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,KESTEL,BURSA-KESTEL,613
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,MUDANYA,BURSA-MUDANYA,650
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,MUSTAFAKEMALPASA,BURSA-MUSTAFAKEMALPASA,555
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,NILUFER,BURSA-NILUFER,617
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,ORHANELI,BURSA-ORHANELI,563
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,ORHANGAZI,BURSA-ORHANGAZI,662
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,OSMANGAZI,BURSA-OSMANGAZI,610
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,YENISEHIR,BURSA-YENISEHIR,629
"TR41-BURSA, ESKISEHIR, BILECIK",BURSA,YILDIRIM,BURSA-YILDIRIM,635
"TR41-BURSA, ESKISEHIR, BILECIK",ESKISEHIR,ALPU,ESKISEHIR-ALPU,535
"TR41-BURSA, ESKISEHIR, BILECIK",ESKISEHIR,BEYLIKOVA,ESKISEHIR-BEYLIKOVA,533
"TR41-BURSA, ESKISEHIR, BILECIK",ESKISEHIR,CIFTELER,ESKISEHIR-CIFTELER,473
"TR41-BURSA, ESKISEHIR, BILECIK",ESKISEHIR,GUNYUZU,ESKISEHIR-GUNYUZU,517
"TR41-BURSA, ESKISEHIR, BILECIK",ESKISEHIR,HAN,ESKISEHIR-HAN,453
"TR41-BURSA, ESKISEHIR, BILECIK",ESKISEHIR,INONU,ESKISEHIR-INONU,542
"TR41-BURSA, ESKISEHIR, BILECIK",ESKISEHIR,MAHMUDIYE,ESKISEHIR-MAHMUDIYE,507
"TR41-BURSA, ESKISEHIR, BILECIK",ESKISEHIR,MIHALGAZI,ESKISEHIR-MIHALGAZI,598
"TR41-BURSA, ESKISEHIR, BILECIK",ESKISEHIR,MIHALICCIK,ESKISEHIR-MIHALICCIK,547
"TR41-BURSA, ESKISEHIR, BILECIK",ESKISEHIR,ODUNPAZARI,ESKISEHIR-ODUNPAZARI,528
"TR41-BURSA, ESKISEHIR, BILECIK",ESKISEHIR,SARICAKAYA,ESKISEHIR-SARICAKAYA,591
"TR41-BURSA, ESKISEHIR, BILECIK",ESKISEHIR,SEYITGAZI,ESKISEHIR-SEYITGAZI,465
"TR41-BURSA, ESKISEHIR, BILECIK",ESKISEHIR,SIVRIHISAR,ESKISEHIR-SIVRIHISAR,462
"TR41-BURSA, ESKISEHIR, BILECIK",ESKISEHIR,TEPEBASI,ESKISEHIR-TEPEBASI,566
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",BOLU,BOLU,BOLU-BOLU,716
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",BOLU,DORTDIVAN,BOLU-DORTDIVAN,749
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",BOLU,GEREDE,BOLU-GEREDE,756
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",BOLU,GOYNUK,BOLU-GOYNUK,628
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",BOLU,KIBRISCIK,BOLU-KIBRISCIK,715
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",BOLU,MENGEN,BOLU-MENGEN,788
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",BOLU,MUDURNU,BOLU-MUDURNU,664
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",BOLU,SEBEN,BOLU-SEBEN,658
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",BOLU,YENICAGA,BOLU-YENICAGA,757
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",DUZCE,AKCAKOCA,DUZCE-AKCAKOCA,817
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",DUZCE,CILIMLI,DUZCE-CILIMLI,796
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",DUZCE,CUMAYERI,DUZCE-CUMAYERI,797
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",DUZCE,DUZCE,DUZCE-DUZCE,725
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",DUZCE,GOLYAKA,DUZCE-GOLYAKA,750
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",DUZCE,GUMUSOVA,DUZCE-GUMUSOVA,778
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",DUZCE,KAYNASLI,DUZCE-KAYNASLI,720
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",DUZCE,YIGILCA,DUZCE-YIGILCA,793
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",KOCAELI,BASISKELE,KOCAELI-BASISKELE,686
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",KOCAELI,CAYIROVA,KOCAELI-CAYIROVA,787
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",KOCAELI,DARICA,KOCAELI-DARICA,767
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",KOCAELI,DERINCE,KOCAELI-DERINCE,818
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",KOCAELI,DILOVASI,KOCAELI-DILOVASI,798
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",KOCAELI,GEBZE,KOCAELI-GEBZE,768
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",KOCAELI,GOLCUK,KOCAELI-GOLCUK,711
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",KOCAELI,IZMIT,KOCAELI-IZMIT,744
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",KOCAELI,KANDIRA,KOCAELI-KANDIRA,849
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",KOCAELI,KARAMURSEL,KOCAELI-KARAMURSEL,697
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",KOCAELI,KARTEPE,KOCAELI-KARTEPE,714
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",KOCAELI,KORFEZ,KOCAELI-KORFEZ,799
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",SAKARYA,ADAPAZARI,SAKARYA-ADAPAZARI,745
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",SAKARYA,AKYAZI,SAKARYA-AKYAZI,687
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",SAKARYA,ARIFIYE,SAKARYA-ARIFIYE,724
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",SAKARYA,ERENLER,SAKARYA-ERENLER,719
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",SAKARYA,FERIZLI,SAKARYA-FERIZLI,816
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",SAKARYA,GEYVE,SAKARYA-GEYVE,677
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",SAKARYA,HENDEK,SAKARYA-HENDEK,721
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",SAKARYA,KARAPURCEK,SAKARYA-KARAPURCEK,689
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",SAKARYA,KARASU,SAKARYA-KARASU,813
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",SAKARYA,KAYNARCA,SAKARYA-KAYNARCA,819
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",SAKARYA,KOCAALI,SAKARYA-KOCAALI,826
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",SAKARYA,PAMUKOVA,SAKARYA-PAMUKOVA,681
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",SAKARYA,SAPANCA,SAKARYA-SAPANCA,712
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",SAKARYA,SERDIVAN,SAKARYA-SERDIVAN,738
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",SAKARYA,SOGUTLU,SAKARYA-SOGUTLU,812
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",SAKARYA,TARAKLI,SAKARYA-TARAKLI,673
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",YALOVA,ALTINOVA,YALOVA-ALTINOVA,696
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",YALOVA,ARMUTLU,YALOVA-ARMUTLU,694
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",YALOVA,CIFTLIKKOY,YALOVA-CIFTLIKKOY,700
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",YALOVA,CINARCIK,YALOVA-CINARCIK,701
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",YALOVA,TERMAL,YALOVA-TERMAL,688
"TR42-DOGU MARMARA-(BOLU, DUZCE, KOCAELI, SAKARYA, YALOVA)",YALOVA,YALOVA,YALOVA-YALOVA,699
TR51-ANKARA-(ANKARA),ANKARA,AKYURT,ANKARA-AKYURT,607
TR51-ANKARA-(ANKARA),ANKARA,ALTINDAG,ANKARA-ALTINDAG,582
TR51-ANKARA-(ANKARA),ANKARA,AYAS,ANKARA-AYAS,620
TR51-ANKARA-(ANKARA),ANKARA,BALA,ANKARA-BALA,480
TR51-ANKARA-(ANKARA),ANKARA,BEYPAZARI,ANKARA-BEYPAZARI,572
TR51-ANKARA-(ANKARA),ANKARA,CAMLIDERE,ANKARA-CAMLIDERE,669
TR51-ANKARA-(ANKARA),ANKARA,CANKAYA,ANKARA-CANKAYA,549
TR51-ANKARA-(ANKARA),ANKARA,CUBUK,ANKARA-CUBUK,634
TR51-ANKARA-(ANKARA),ANKARA,ELMADAG,ANKARA-ELMADAG,550
TR51-ANKARA-(ANKARA),ANKARA,ETIMESGUT,ANKARA-ETIMESGUT,559
TR51-ANKARA-(ANKARA),ANKARA,EVREN,ANKARA-EVREN,441
TR51-ANKARA-(ANKARA),ANKARA,GOLBASI,ANKARA-GOLBASI,530
TR51-ANKARA-(ANKARA),ANKARA,GUDUL,ANKARA-GUDUL,637
TR51-ANKARA-(ANKARA),ANKARA,HAYMANA,ANKARA-HAYMANA,447
TR51-ANKARA-(ANKARA),ANKARA,KAHRAMANKAZAN,ANKARA-KAHRAMANKAZAN,618
TR51-ANKARA-(ANKARA),ANKARA,KALECIK,ANKARA-KALECIK,603
TR51-ANKARA-(ANKARA),ANKARA,KECIOREN,ANKARA-KECIOREN,601
TR51-ANKARA-(ANKARA),ANKARA,KIZILCAHAMAM,ANKARA-KIZILCAHAMAM,644
TR51-ANKARA-(ANKARA),ANKARA,MAMAK,ANKARA-MAMAK,581
TR51-ANKARA-(ANKARA),ANKARA,NALLIHAN,ANKARA-NALLIHAN,655
TR51-ANKARA-(ANKARA),ANKARA,POLATLI,ANKARA-POLATLI,518
TR51-ANKARA-(ANKARA),ANKARA,PURSAKLAR,ANKARA-PURSAKLAR,608
TR51-ANKARA-(ANKARA),ANKARA,SEREFLIKOCHISAR,ANKARA-SEREFLIKOCHISAR,466
